Country,Longitude,Latitude,ClimateZone,Temperature,Precipitation,SOC_initial,TN_initial,TP_initial,NH4_N_initial,NO3_N_initial,OlsenP_initial,pH_initial,BD_initial,CEC_initial,Texture_initial,Sand_initial,Silt _initial,Clay_initial,Type_biochar,ParticleSize_biochar,BD_biochar,PyrolysisTemperature_biochar,Ash_biochar,C_biochar,N_biochar,P_biochar,CNRatio_biochar,pH_biochar,CEC_biochar,Treatment,BiocharAddition,CropType,TrialDuration,SoilDepth,SOC_T,TN_T,CNRatio_T,DOC_T,NH4_N_T,NO3_N_T,OlsenP_T,CEC_T,K_T,Ca_T,Mg_T,Na_T,pH_T,SMBC_T,SMBN_T,CropYield_T,CO2_T,CH4_T,N2O_T,GWP_T,GHGI_T
China,119.68,31.4,Subtropic,15.7,1177.0,23.5,1.8,,,,,6.5,1.01,18.1,Clay,,,,Wheat straw,2.0,0.65,375.00 ,20.8,467.0,5.9,,83.39,10.4,21.7,B,20.0,Rice,365.0,15.0,,,,,,,,,,,,,,,,8.3,1608.0,57.6,1.07,7.961321386023163,345.4
China,119.68,31.4,Subtropic,15.7,1177.0,23.5,1.8,,,,,6.5,1.01,18.1,Clay,,,,Wheat straw,2.0,0.65,375.00 ,20.8,467.0,5.9,,83.39,10.4,21.7,B,40.0,Rice,365.0,15.0,,,,,,,,,,,,,,,,9.3,1829.0,46.4,1.18,7.916311560474392,294.69
China,119.68,31.4,Subtropic,15.7,1177.0,23.5,1.8,,,,,6.5,1.01,18.1,Clay,,,,Wheat straw,2.0,0.65,375.00 ,20.8,467.0,5.9,,83.39,10.4,21.7,B,10.0,Wheat,365.0,15.0,,,,,,,,,,,,,,,,5.4,3612.0,,9.55,8.605002583240646,1010.72
China,119.68,31.4,Subtropic,15.7,1177.0,23.5,1.8,,,,,6.5,1.01,18.1,Clay,,,,Wheat straw,2.0,0.65,375.00 ,20.8,467.0,5.9,,83.39,10.4,21.7,B,20.0,Wheat,365.0,15.0,,,,,,,,,,,,,,,,4.9,3846.0,,5.53,8.61158294776082,1121.21
China,119.68,31.4,Subtropic,15.7,1177.0,23.5,1.8,,,,,6.5,1.01,18.1,Clay,,,,Wheat straw,2.0,0.65,375.00 ,20.8,467.0,5.9,,83.39,10.4,21.7,B,40.0,Wheat,365.0,15.0,,,,,,,,,,,,,,,,5.1,3232.0,,5.21,8.473362508662671,938.15
Indonesia,124.0,-10.05,Tropic,25.8,1786.0,3.8,0.32,,,,,7.3,,,,71.4,22.7,6.0,Gliricidia sepium,,,350.00 ,,741.0,6.6,,112.3,9.4,7.1,B,5.0,Maize,,,,,,,,,,,,,,,,,,5.92,,,,,
Indonesia,124.0,-10.05,Tropic,25.8,1786.0,3.8,0.32,,,,,7.3,,,,71.4,22.7,6.0,Eupatorium adenophorum,,,350.00 ,,714.0,6.6,,108.2,10.4,127.0,B,10.0,Maize,,,,,,,,,,,,,,,,,,5.07,,,,,
Indonesia,124.0,-10.05,Tropic,25.8,1786.0,3.8,0.32,,,,,7.3,,,,71.4,22.7,6.0,Gliricidia sepium,,,350.00 ,,741.0,6.6,,112.3,9.4,7.1,B,5.0,Maize,,,,,,,,,,,,,,,,,,5.28,,,,,
Indonesia,124.0,-10.05,Tropic,25.8,1786.0,3.8,0.32,,,,,7.3,,,,71.4,22.7,6.0,Eupatorium adenophorum,,,350.00 ,,714.0,6.6,,108.2,10.4,127.0,B,10.0,Maize,,,,,,,,,,,,,,,,,,6.51,,,,,
Japan,139.46,35.42,Temperate,10.95,553.0,11.9,1.1,,,,,5.54,,,Sand,98.9,1.1,0.01,Sludge,2.0,,370.00 ,,317.0,34.0,64.0,93.0,8.81,,B,1.88,Rice,101.0,15.0,,,,,,,,,,,,,,,,19.28,,347.0,1.0,8.450262477933448,242.56
Japan,139.46,35.42,Temperate,10.95,553.0,11.9,1.1,,,,,6.6,,,Sand,97.3,2.7,0.01,Cow manure,2.0,,330.00 ,,317.2,34.0,64.0,93.29,8.81,,BNPK,18.0,Komatsuna,120.0,20.0,20.91,,,,3.33,3.33,,,,,,,,,,6.67,2.12,,0.52,5.06871550517278,23.68
Japan,139.46,35.42,Temperate,10.95,553.0,11.9,1.1,,,,,6.6,,,Sand,97.3,2.7,0.01,Cow manure,2.0,,330.00 ,,317.2,34.0,64.0,9.33,8.81,,BNPK,36.0,Komatsuna,120.0,20.0,24.13,,,,2.9,3.33,,,,,,,,,,5.85,2.16,,0.64,5.26103078176202,32.77
Japan,139.46,35.42,Temperate,10.95,553.0,11.9,1.1,,,,,6.6,,,Sand,97.3,2.7,0.01,Cow manure,2.0,,330.00 ,,317.2,34.0,64.0,9.33,8.81,,BNPK,72.0,Komatsuna,120.0,20.0,27.78,,,,3.11,3.33,,,,,,,,,,6.08,2.24,,0.78,5.461201229449516,38.55
